Loading pytorch-gpu/py3/2.3.1
  Loading requirement: cuda/12.4.1 nccl/2.21.5-1-cuda cudnn/9.2.0.82-cuda
    gcc/11.5.0 openmpi/4.1.5-cuda intel-oneapi-mkl/2024.1 magma/2.8.0-cuda
    sox/14.4.2 hdf5/1.12.0-mpi-cuda libjpeg-turbo/2.1.3 ffmpeg/6.1.1
/lustre/fshomisc/sup/pub/anaconda-py3/h100/2024.06/envs/pytorch-gpu-2.3.1+py3.11.9/lib/python3.11/site-packages/torchvision-0.18.1a0+126fc22-py3.11-linux-x86_64.egg/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: ''If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn(
/lustre/fshomisc/sup/pub/anaconda-py3/h100/2024.06/envs/pytorch-gpu-2.3.1+py3.11.9/lib/python3.11/site-packages/torchvision-0.18.1a0+126fc22-py3.11-linux-x86_64.egg/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: ''If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn(
⚙️ Using FACTOR: 1.0
⚙️ World size: 2
✅ Data, Model, and Optimizer initialized.
💾 Checkpoint will be saved as: flow_models/model_20260519_221627.ckpt
✅ Data loaded: 70000 samples, 136 batches per process.
🔥 Starting Training for 5 epochs...
Epoch 1/5 | step 79 | batch 79/136 | loss -0.9225
Epoch 1/5 | step 80 | batch 80/136 | loss -0.9329
Epoch 1/5 | step 81 | batch 81/136 | loss -0.9484
Epoch 1/5 | step 82 | batch 82/136 | loss -0.9660
Epoch 1/5 | step 83 | batch 83/136 | loss -0.9436
Epoch 1/5 | step 84 | batch 84/136 | loss -0.9650
Epoch 1/5 | step 85 | batch 85/136 | loss -0.9677
Epoch 1/5 | step 86 | batch 86/136 | loss -0.9818
Epoch 1/5 | step 87 | batch 87/136 | loss -0.9604
Epoch 1/5 | step 88 | batch 88/136 | loss -0.9695
Epoch 1/5 | step 89 | batch 89/136 | loss -0.9913
Epoch 1/5 | step 90 | batch 90/136 | loss -0.9804
Epoch 1/5 | step 91 | batch 91/136 | loss -0.9579
Epoch 1/5 | step 92 | batch 92/136 | loss -0.9845
Epoch 1/5 | step 93 | batch 93/136 | loss -0.9926
Epoch 1/5 | step 94 | batch 94/136 | loss -0.9783
Epoch 1/5 | step 95 | batch 95/136 | loss -1.0039
Epoch 1/5 | step 96 | batch 96/136 | loss -1.0051
Epoch 1/5 | step 97 | batch 97/136 | loss -0.9907
Epoch 1/5 | step 98 | batch 98/136 | loss -0.9945
Epoch 1/5 | step 99 | batch 99/136 | loss -0.9891
Epoch 1/5 | step 100 | batch 100/136 | loss -1.0056
Epoch 1/5 | step 101 | batch 101/136 | loss -0.9878
Epoch 1/5 | step 102 | batch 102/136 | loss -1.0252
Epoch 1/5 | step 103 | batch 103/136 | loss -0.9950
Epoch 1/5 | step 104 | batch 104/136 | loss -1.0032
Epoch 1/5 | step 105 | batch 105/136 | loss -1.0143
Epoch 1/5 | step 106 | batch 106/136 | loss -0.9966
Epoch 1/5 | step 107 | batch 107/136 | loss -1.0277
Epoch 1/5 | step 108 | batch 108/136 | loss -1.0250
Epoch 1/5 | step 109 | batch 109/136 | loss -0.9944
Epoch 1/5 | step 110 | batch 110/136 | loss -1.0254
Epoch 1/5 | step 111 | batch 111/136 | loss -1.0225
Epoch 1/5 | step 112 | batch 112/136 | loss -1.0268
Epoch 1/5 | step 113 | batch 113/136 | loss -1.0296
Epoch 1/5 | step 114 | batch 114/136 | loss -1.0190
Epoch 1/5 | step 115 | batch 115/136 | loss -1.0485
Epoch 1/5 | step 116 | batch 116/136 | loss -1.0394
Epoch 1/5 | step 117 | batch 117/136 | loss -1.0438
Epoch 1/5 | step 118 | batch 118/136 | loss -1.0596
Epoch 1/5 | step 119 | batch 119/136 | loss -1.0480
Epoch 1/5 | step 120 | batch 120/136 | loss -1.0343
Epoch 1/5 | step 121 | batch 121/136 | loss -1.0586
Epoch 1/5 | step 122 | batch 122/136 | loss -1.0571
Epoch 1/5 | step 123 | batch 123/136 | loss -1.0520
Epoch 1/5 | step 124 | batch 124/136 | loss -1.0697
Epoch 1/5 | step 125 | batch 125/136 | loss -1.0689
Epoch 1/5 | step 126 | batch 126/136 | loss -1.0589
Epoch 1/5 | step 127 | batch 127/136 | loss -1.0702
Epoch 1/5 | step 128 | batch 128/136 | loss -1.0504
Epoch 1/5 | step 129 | batch 129/136 | loss -1.0770
Epoch 1/5 | step 130 | batch 130/136 | loss -1.0557
Epoch 1/5 | step 131 | batch 131/136 | loss -1.0532
Epoch 1/5 | step 132 | batch 132/136 | loss -1.1022
Epoch 1/5 | step 133 | batch 133/136 | loss -1.0583
Epoch 1/5 | step 134 | batch 134/136 | loss -1.0696
Epoch 1/5 | step 135 | batch 135/136 | loss -1.0648
Epoch 1/5 | step 136 | batch 136/136 | loss -1.0782
Epoch 1 done | avg loss: -0.8555 | prior_var_mean: 0.9897
Epoch 2/5 | step 137 | batch 1/136 | loss -1.0699
Epoch 2/5 | step 138 | batch 2/136 | loss -1.0591
Epoch 2/5 | step 139 | batch 3/136 | loss -1.0732
Epoch 2/5 | step 140 | batch 4/136 | loss -1.0885
Epoch 2/5 | step 141 | batch 5/136 | loss -1.0832
Epoch 2/5 | step 142 | batch 6/136 | loss -1.0792
Epoch 2/5 | step 143 | batch 7/136 | loss -1.0985
