Loading pytorch-gpu/py3/2.3.1
  Loading requirement: cuda/12.4.1 nccl/2.21.5-1-cuda cudnn/9.2.0.82-cuda
    gcc/11.5.0 openmpi/4.1.5-cuda intel-oneapi-mkl/2024.1 magma/2.8.0-cuda
    sox/14.4.2 hdf5/1.12.0-mpi-cuda libjpeg-turbo/2.1.3 ffmpeg/6.1.1
/lustre/fshomisc/sup/pub/anaconda-py3/h100/2024.06/envs/pytorch-gpu-2.3.1+py3.11.9/lib/python3.11/site-packages/torchvision-0.18.1a0+126fc22-py3.11-linux-x86_64.egg/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: ''If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn(
/lustre/fshomisc/sup/pub/anaconda-py3/h100/2024.06/envs/pytorch-gpu-2.3.1+py3.11.9/lib/python3.11/site-packages/torchvision-0.18.1a0+126fc22-py3.11-linux-x86_64.egg/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: ''If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn(
⚙️ Using FACTOR: 1.0
⚙️ World size: 2
✅ Data, Model, and Optimizer initialized.
💾 Checkpoint will be saved as: flow_models/model_20260519_221627.ckpt
✅ Data loaded: 70000 samples, 68 batches per process.
🔥 Starting Training for 5 epochs...
Epoch 1/5 | step 1 | batch 1/68 | loss 0.1625
Epoch 1/5 | step 2 | batch 2/68 | loss 0.1298
Epoch 1/5 | step 3 | batch 3/68 | loss 0.0711
Epoch 1/5 | step 4 | batch 4/68 | loss -0.0185
Epoch 1/5 | step 5 | batch 5/68 | loss -0.1070
Epoch 1/5 | step 6 | batch 6/68 | loss -0.1879
Epoch 1/5 | step 7 | batch 7/68 | loss -0.2576
Epoch 1/5 | step 8 | batch 8/68 | loss -0.2908
Epoch 1/5 | step 9 | batch 9/68 | loss -0.3376
Epoch 1/5 | step 10 | batch 10/68 | loss -0.4142
Epoch 1/5 | step 11 | batch 11/68 | loss -0.4758
Epoch 1/5 | step 12 | batch 12/68 | loss -0.5209
Epoch 1/5 | step 13 | batch 13/68 | loss -0.5624
Epoch 1/5 | step 14 | batch 14/68 | loss -0.6058
Epoch 1/5 | step 15 | batch 15/68 | loss -0.6466
Epoch 1/5 | step 16 | batch 16/68 | loss -0.6603
Epoch 1/5 | step 17 | batch 17/68 | loss -0.6937
Epoch 1/5 | step 18 | batch 18/68 | loss -0.6918
Epoch 1/5 | step 19 | batch 19/68 | loss -0.6812
Epoch 1/5 | step 20 | batch 20/68 | loss -0.6851
Epoch 1/5 | step 21 | batch 21/68 | loss -0.6973
Epoch 1/5 | step 22 | batch 22/68 | loss -0.7032
Epoch 1/5 | step 23 | batch 23/68 | loss -0.7072
Epoch 1/5 | step 24 | batch 24/68 | loss -0.7378
Epoch 1/5 | step 25 | batch 25/68 | loss -0.7343
Epoch 1/5 | step 26 | batch 26/68 | loss -0.7599
Epoch 1/5 | step 27 | batch 27/68 | loss -0.7719
Epoch 1/5 | step 28 | batch 28/68 | loss -0.7709
Epoch 1/5 | step 29 | batch 29/68 | loss -0.7825
Epoch 1/5 | step 30 | batch 30/68 | loss -0.7772
