-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
fmha_cutlassB_bf16_aligned_64x64_k64_seqaligned_sm80...         0.00%       0.000us         0.00%       0.000us       0.000us        6.856s        43.51%        6.856s      77.034ms           0 B           0 B           0 B           0 B            89  
autograd::engine::evaluate_function: ScaledDotProduc...         0.01%       1.719ms         1.04%     264.423ms       3.305ms       0.000us         0.00%        6.691s      83.636ms      -1.25 KB      -1.25 KB     -10.31 GB     -25.31 GB            80  
            ScaledDotProductEfficientAttentionBackward0         0.00%       1.027ms         1.03%     262.704ms       3.284ms       0.000us         0.00%        6.691s      83.636ms           0 B           0 B      15.00 GB           0 B            80  
aten::_scaled_dot_product_efficient_attention_backwa...         0.01%       2.014ms         1.03%     261.677ms       3.271ms       0.000us         0.00%        6.691s      83.636ms           0 B           0 B      15.00 GB           0 B            80  
                    aten::_efficient_attention_backward         0.01%       2.604ms         1.01%     257.765ms       3.222ms        6.633s        42.10%        6.691s      83.636ms           0 B           0 B      15.00 GB     -10.17 GB            80  
                                          ProfilerStep*         0.02%       4.382ms        54.37%       13.852s        1.385s       0.000us         0.00%        3.931s     393.095ms           0 B           0 B           0 B    -240.01 MB            10  
                                        01_forward_loss         0.10%      24.353ms        14.89%        3.792s     379.209ms       0.000us         0.00%        3.896s     389.632ms       1.33 KB          80 B      91.75 GB     -32.66 GB            10  
                                        01_forward_loss         0.00%       0.000us         0.00%       0.000us       0.000us        3.894s        24.72%        3.894s     389.439ms           0 B           0 B           0 B           0 B            10  
    autograd::engine::evaluate_function: AddmmBackward0         0.03%       7.886ms         5.46%        1.392s       4.218ms       0.000us         0.00%        1.989s       6.026ms           0 B           0 B     -40.12 GB     -75.77 GB           330  
