-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ViewBackward0         0.01%       2.405ms         0.86%     219.579ms     267.779us       0.000us         0.00%     318.007ms     387.814us           0 B           0 B      15.00 GB           0 B           820  
                                          aten::reshape         0.01%       3.124ms         0.86%     219.049ms     219.049us       0.000us         0.00%     319.236ms     319.236us           0 B           0 B      15.06 GB           0 B          1000  
                                              aten::cat         0.07%      16.887ms         0.86%     218.634ms       1.988ms     541.299ms         3.44%     541.299ms       4.921ms     120.00 MB     120.00 MB      15.23 GB      15.23 GB           110  
                                            aten::clone         0.00%     626.527us         0.83%     212.646ms       2.363ms       0.000us         0.00%     319.236ms       3.547ms           0 B           0 B      15.06 GB           0 B            90  
    autograd::engine::evaluate_function: SplitBackward0         0.00%     972.911us         0.81%     205.095ms       2.279ms       0.000us         0.00%     537.929ms       5.977ms           0 B           0 B           0 B     -15.12 GB            90  
                                         SplitBackward0         0.00%     529.926us         0.80%     204.122ms       2.268ms       0.000us         0.00%     537.929ms       5.977ms           0 B           0 B      15.12 GB           0 B            90  
      autograd::engine::evaluate_function: SubBackward0         0.00%     306.609us         0.79%     200.797ms      10.040ms       0.000us         0.00%       1.386ms      69.285us           0 B           0 B     -60.00 MB    -240.00 MB            20  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 25.476s
Self CUDA time total: 15.756s
