-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.06%       1.635ms        58.26%        1.705s     170.461ms       0.000us         0.00%     502.709ms      50.271ms           0 b           0 b           0 b    -240.01 Mb            10  
                                       cudaLaunchKernel        48.62%        1.423s        48.62%        1.423s     167.963us       0.000us         0.00%       0.000us       0.000us           0 b           0 b        -512 b        -512 b          8470  
                                            02_backward        35.37%        1.035s        35.50%        1.039s     103.872ms       0.000us         0.00%      20.000us       2.000us      -1.33 Kb      -1.33 Kb     -91.57 Gb     -91.57 Gb            10  
                                               aten::to         2.37%      69.331ms        20.69%     605.272ms     252.197us       0.000us         0.00%      92.029ms      38.345us           0 b           0 b      43.31 Gb       2.06 Gb          2400  
                                         aten::_to_copy         0.40%      11.802ms        20.62%     603.439ms     295.803us       0.000us         0.00%      98.869ms      48.465us           0 b           0 b      43.31 Gb           0 b          2040  
                                            aten::copy_         0.81%      23.763ms        20.59%     602.480ms     277.641us     138.487ms         5.75%     138.487ms      63.819us           0 b           0 b           0 b           0 b          2170  
                                        01_forward_loss         0.37%      10.712ms        20.58%     602.247ms      60.225ms       0.000us         0.00%     493.940ms      49.394ms       1.33 Kb         -64 b      91.75 Gb     -36.73 Gb            10  
autograd::engine::evaluate_function: ToCopyBackward0...        -0.31%   -9111.000us        18.81%     550.384ms     632.625us       0.000us         0.00%      31.761ms      36.507us           0 b           0 b      10.60 Gb     -11.29 Gb           870  
                                        ToCopyBackward0        -1.58%  -46090.000us        18.66%     546.067ms     627.663us       0.000us         0.00%      31.055ms      35.695us           0 b           0 b      21.48 Gb     276.91 Mb           870  
                                           aten::im2col         0.35%      10.261ms        13.87%     405.833ms      40.583ms      10.256ms         0.43%      10.256ms       1.026ms           0 b           0 b     120.00 Mb           0 b            10  
