-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      60.206ms         2.50%      60.206ms     661.604us           0 b           0 b           0 b           0 b            91  
                                              aten::cat         0.34%      10.077ms         0.46%      13.526ms     122.964us      53.687ms         2.23%      53.687ms     488.064us     120.00 Mb     120.00 Mb      15.23 Gb      15.23 Gb           110  
    autograd::engine::evaluate_function: SplitBackward0         0.02%     490.000us         0.18%       5.381ms      59.789us       0.000us         0.00%      53.195ms     591.056us           0 b           0 b           0 b     -15.12 Gb            90  
                                         SplitBackward0         0.01%     238.000us         0.17%       4.891ms      54.344us       0.000us         0.00%      53.195ms     591.056us           0 b           0 b      15.12 Gb           0 b            90  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      46.536ms         1.93%      46.536ms     517.067us           0 b           0 b           0 b           0 b            90  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      44.098ms         1.83%      44.098ms     390.248us           0 b           0 b           0 b           0 b           113  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      42.043ms         1.74%      42.043ms     218.974us           0 b           0 b           0 b           0 b           192  
     autograd::engine::evaluate_function: GeluBackward0         0.02%     560.000us         0.50%      14.526ms     181.575us       0.000us         0.00%      41.373ms     517.163us           0 b           0 b     -20.00 Gb     -40.00 Gb            80  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.926s
Self CUDA time total: 2.409s
