timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/05/18 21:14:11.515, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 0 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 21:14:11.517, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 0 MiB, 81920 MiB, 61.89 W, 30
2026/05/18 21:14:12.519, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 0 MiB, 81920 MiB, 63.08 W, 29
2026/05/18 21:14:12.520, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 0 MiB, 81920 MiB, 61.89 W, 30
2026/05/18 21:14:13.521, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 21:14:13.523, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 61.89 W, 30
2026/05/18 21:14:14.525, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.08 W, 29
2026/05/18 21:14:14.529, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 61.89 W, 30
2026/05/18 21:14:15.533, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 21:14:15.533, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 61.89 W, 30
2026/05/18 21:14:16.534, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 21:14:16.534, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 61.89 W, 30
2026/05/18 21:14:17.534, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 21:14:17.534, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 61.89 W, 30
2026/05/18 21:14:18.534, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 21:14:18.534, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 61.89 W, 30
2026/05/18 21:14:19.535, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.08 W, 29
2026/05/18 21:14:19.535, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 61.89 W, 30
2026/05/18 21:14:20.536, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.08 W, 29
2026/05/18 21:14:20.536, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 61.89 W, 30
2026/05/18 21:14:21.536, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.08 W, 29
2026/05/18 21:14:21.537, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 61.89 W, 30
2026/05/18 21:14:22.537, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 21:14:22.537, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 61.89 W, 30
2026/05/18 21:14:23.537, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.08 W, 29
2026/05/18 21:14:23.538, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 61.89 W, 30
2026/05/18 21:14:24.539, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 21:14:24.540, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 61.89 W, 30
2026/05/18 21:14:25.541, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.08 W, 29
