timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/05/18 21:06:12.997, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 324.95 W, 50
2026/05/18 21:06:13.997, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 330.68 W, 50
2026/05/18 21:06:14.997, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 359.64 W, 50
2026/05/18 21:06:15.998, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 352.43 W, 51
2026/05/18 21:06:16.998, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 341.53 W, 51
2026/05/18 21:06:17.998, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 311.97 W, 51
2026/05/18 21:06:18.999, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 316.20 W, 51
2026/05/18 21:06:20.000, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 318.32 W, 51
2026/05/18 21:06:21.001, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 332.80 W, 51
2026/05/18 21:06:22.002, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 323.41 W, 51
2026/05/18 21:06:23.003, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 311.91 W, 52
2026/05/18 21:06:24.004, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 316.20 W, 52
2026/05/18 21:06:25.004, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 324.33 W, 52
2026/05/18 21:06:26.004, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 335.78 W, 52
2026/05/18 21:06:27.004, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 315.28 W, 52
2026/05/18 21:06:28.005, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 330.68 W, 52
2026/05/18 21:06:29.005, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 335.51 W, 52
2026/05/18 21:06:30.005, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 341.26 W, 52
2026/05/18 21:06:31.005, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 324.95 W, 52
2026/05/18 21:06:32.006, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 340.93 W, 53
2026/05/18 21:06:33.007, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 355.74 W, 53
2026/05/18 21:06:34.008, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 358.45 W, 53
2026/05/18 21:06:35.009, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 349.71 W, 53
2026/05/18 21:06:36.010, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 326.79 W, 53
2026/05/18 21:06:37.012, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 278.09 W, 53
2026/05/18 21:06:38.013, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 316.47 W, 52
2026/05/18 21:06:39.013, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 319.78 W, 52
