timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/05/18 21:19:13.008, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 0 MiB, 81920 MiB, 62.34 W, 29
2026/05/18 21:19:14.025, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 0 MiB, 81920 MiB, 62.34 W, 29
2026/05/18 21:19:15.026, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 69.64 W, 29
2026/05/18 21:19:16.028, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 69.89 W, 30
2026/05/18 21:19:17.028, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.34 W, 29
2026/05/18 21:19:18.028, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.34 W, 29
2026/05/18 21:19:19.028, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.34 W, 29
2026/05/18 21:19:20.028, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.34 W, 29
2026/05/18 21:19:21.029, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.34 W, 29
2026/05/18 21:19:22.029, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.34 W, 29
2026/05/18 21:19:23.029, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.34 W, 29
2026/05/18 21:19:24.029, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.34 W, 29
2026/05/18 21:19:25.029, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.34 W, 29
2026/05/18 21:19:26.029, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.40 W, 29
2026/05/18 21:19:27.030, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.34 W, 29
2026/05/18 21:19:28.030, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.34 W, 29
2026/05/18 21:19:29.030, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.34 W, 29
2026/05/18 21:19:30.030, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.34 W, 29
2026/05/18 21:19:31.031, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.34 W, 29
2026/05/18 21:19:32.031, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.34 W, 29
2026/05/18 21:19:33.031, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 481 MiB, 81920 MiB, 84.08 W, 30
2026/05/18 21:19:34.032, 0, NVIDIA A100-SXM4-80GB, 29 %, 8 %, 10605 MiB, 81920 MiB, 168.86 W, 32
2026/05/18 21:19:35.033, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 310.45 W, 41
2026/05/18 21:19:36.034, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 329.18 W, 42
2026/05/18 21:19:37.035, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 346.11 W, 43
2026/05/18 21:19:38.035, 0, NVIDIA A100-SXM4-80GB, 99 %, 37 %, 10605 MiB, 81920 MiB, 302.90 W, 44
2026/05/18 21:19:39.064, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 324.95 W, 45
2026/05/18 21:19:40.065, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 282.64 W, 45
2026/05/18 21:19:41.065, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10605 MiB, 81920 MiB, 322.55 W, 46
2026/05/18 21:19:42.066, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 325.27 W, 45
2026/05/18 21:19:43.067, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 319.84 W, 46
2026/05/18 21:19:44.068, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 317.72 W, 46
2026/05/18 21:19:45.069, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 320.43 W, 47
2026/05/18 21:19:46.069, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 326.46 W, 47
2026/05/18 21:19:47.071, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 309.52 W, 48
2026/05/18 21:19:48.072, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 314.68 W, 48
2026/05/18 21:19:49.073, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 338.90 W, 49
2026/05/18 21:19:50.074, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 315.28 W, 49
2026/05/18 21:19:51.074, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 318.91 W, 48
2026/05/18 21:19:52.075, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 336.45 W, 49
2026/05/18 21:19:53.076, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 319.84 W, 49
2026/05/18 21:19:54.076, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10605 MiB, 81920 MiB, 333.14 W, 50
2026/05/18 21:19:55.077, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 360.94 W, 50
2026/05/18 21:19:56.077, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 351.87 W, 50
2026/05/18 21:19:57.077, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 345.49 W, 50
2026/05/18 21:19:58.077, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 321.62 W, 51
2026/05/18 21:19:59.097, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 281.73 W, 51
2026/05/18 21:20:00.098, 0, NVIDIA A100-SXM4-80GB, 99 %, 37 %, 10605 MiB, 81920 MiB, 314.36 W, 50
2026/05/18 21:20:01.099, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 318.59 W, 51
2026/05/18 21:20:02.100, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 321.04 W, 51
2026/05/18 21:20:03.100, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 325.86 W, 51
2026/05/18 21:20:04.100, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10605 MiB, 81920 MiB, 333.14 W, 51
2026/05/18 21:20:05.101, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10605 MiB, 81920 MiB, 337.38 W, 52
2026/05/18 21:20:06.101, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 323.48 W, 52
2026/05/18 21:20:07.102, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 340.36 W, 52
2026/05/18 21:20:08.103, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 320.71 W, 52
2026/05/18 21:20:09.104, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 329.16 W, 52
2026/05/18 21:20:10.107, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 334.01 W, 52
2026/05/18 21:20:11.108, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 318.00 W, 52
2026/05/18 21:20:12.109, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 324.95 W, 52
2026/05/18 21:20:13.109, 0, NVIDIA A100-SXM4-80GB, 99 %, 37 %, 10605 MiB, 81920 MiB, 342.20 W, 52
2026/05/18 21:20:14.109, 0, NVIDIA A100-SXM4-80GB, 99 %, 37 %, 10605 MiB, 81920 MiB, 356.93 W, 52
2026/05/18 21:20:15.110, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 350.35 W, 53
2026/05/18 21:20:16.110, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10605 MiB, 81920 MiB, 331.02 W, 53
2026/05/18 21:20:17.111, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10605 MiB, 81920 MiB, 274.45 W, 53
2026/05/18 21:20:18.111, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10605 MiB, 81920 MiB, 318.91 W, 53
2026/05/18 21:20:19.111, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 331.29 W, 53
2026/05/18 21:20:20.111, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 337.38 W, 53
2026/05/18 21:20:21.112, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 335.53 W, 53
2026/05/18 21:20:22.113, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 330.43 W, 53
2026/05/18 21:20:23.113, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 324.34 W, 53
2026/05/18 21:20:24.114, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 339.74 W, 53
2026/05/18 21:20:25.115, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10605 MiB, 81920 MiB, 320.10 W, 54
2026/05/18 21:20:26.115, 0, NVIDIA A100-SXM4-80GB, 99 %, 37 %, 10605 MiB, 81920 MiB, 316.20 W, 54
