timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/05/18 21:18:43.760, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 0 MiB, 81920 MiB, 63.08 W, 29
2026/05/18 21:18:43.762, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 0 MiB, 81920 MiB, 62.21 W, 31
2026/05/18 21:18:44.767, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 0 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 21:18:44.767, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 0 MiB, 81920 MiB, 62.21 W, 31
2026/05/18 21:18:45.767, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 21:18:45.768, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.21 W, 31
2026/05/18 21:18:46.770, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 21:18:46.771, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.21 W, 31
2026/05/18 21:18:47.772, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 21:18:47.773, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.21 W, 31
2026/05/18 21:18:48.773, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.08 W, 29
2026/05/18 21:18:48.773, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.21 W, 31
2026/05/18 21:18:49.773, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 21:18:49.774, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.21 W, 31
2026/05/18 21:18:50.774, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 21:18:50.774, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.21 W, 31
2026/05/18 21:18:51.774, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 21:18:51.775, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.21 W, 31
2026/05/18 21:18:52.776, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 21:18:52.778, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 62.21 W, 31
