timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/05/18 20:51:22.496, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 0 MiB, 81920 MiB, 63.47 W, 29
2026/05/18 20:51:23.511, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 20:51:24.512, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.08 W, 29
2026/05/18 20:51:25.512, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.08 W, 29
2026/05/18 20:51:26.513, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.08 W, 29
2026/05/18 20:51:27.513, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.08 W, 29
2026/05/18 20:51:28.514, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 20:51:29.514, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 20:51:30.514, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.08 W, 29
2026/05/18 20:51:31.515, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.08 W, 29
2026/05/18 20:51:32.515, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 20:51:33.516, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 20:51:34.516, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 20:51:35.517, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 20:51:36.517, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.08 W, 29
2026/05/18 20:51:37.518, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 20:51:38.520, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.08 W, 29
2026/05/18 20:51:39.521, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.15 W, 29
2026/05/18 20:51:40.522, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.08 W, 29
2026/05/18 20:51:41.523, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.08 W, 29
2026/05/18 20:51:42.531, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 4 MiB, 81920 MiB, 63.08 W, 29
2026/05/18 20:51:43.531, 0, NVIDIA A100-SXM4-80GB, 3 %, 0 %, 481 MiB, 81920 MiB, 84.55 W, 29
2026/05/18 20:51:44.532, 0, NVIDIA A100-SXM4-80GB, 4 %, 0 %, 10591 MiB, 81920 MiB, 161.84 W, 32
2026/05/18 20:51:45.534, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 310.73 W, 39
2026/05/18 20:51:46.534, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 315.54 W, 40
2026/05/18 20:51:47.534, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 321.56 W, 41
2026/05/18 20:51:48.535, 0, NVIDIA A100-SXM4-80GB, 99 %, 37 %, 10607 MiB, 81920 MiB, 314.95 W, 42
2026/05/18 20:51:49.535, 0, NVIDIA A100-SXM4-80GB, 99 %, 37 %, 10607 MiB, 81920 MiB, 318.25 W, 42
2026/05/18 20:51:50.535, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 329.09 W, 43
2026/05/18 20:51:51.535, 0, NVIDIA A100-SXM4-80GB, 98 %, 35 %, 10607 MiB, 81920 MiB, 335.75 W, 43
2026/05/18 20:51:52.536, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 335.16 W, 44
2026/05/18 20:51:53.536, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 343.88 W, 44
2026/05/18 20:51:54.536, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 344.48 W, 44
2026/05/18 20:51:55.536, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 315.55 W, 45
2026/05/18 20:51:56.537, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 320.69 W, 45
2026/05/18 20:51:57.537, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 334.56 W, 45
2026/05/18 20:51:58.537, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 350.22 W, 46
2026/05/18 20:51:59.539, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 341.77 W, 46
2026/05/18 20:52:00.540, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 323.40 W, 46
