repeat,step_idx,is_warmup,data_wait_ms,step_wall_ms,h2d_ms,forward_loss_ms,backward_ms,update_prior_ms,optimizer_ms,item_sync_ms,loss,batch_size,samples_per_sec_gpu,samples_per_sec_wall,max_memory_allocated_gb,max_memory_reserved_gb
0,0,1,33.459336031228304,519.2947960458696,28.847135543823242,272.44757080078125,153.44338989257812,0.1626559942960739,30.019359588623047,0.0,0.15987718105316162,256,527.922009749458,492.9762476906997,10.376714752,10.523508736
0,1,1,0.1951520098373294,176.65820592083037,0.5732160210609436,56.605342864990234,118.62735748291016,0.03961599990725517,0.3399040102958679,0.0,0.1296142041683197,256,1453.0145354867389,1449.126003887568,10.390491648,10.540285952
0,2,1,0.19805796910077333,169.15812494698912,0.5618879795074463,49.38083267211914,118.35282897949219,0.03779200091958046,0.34095999598503113,0.0,0.07959932088851929,256,1517.7178593841493,1513.376907436314,10.390491648,10.540285952
0,3,1,0.17383298836648464,168.8969600945711,0.5626239776611328,49.30595016479492,118.17670440673828,0.039103999733924866,0.34191998839378357,0.0,-0.0030692964792251587,256,1519.9526210775318,1515.7170375159917,10.390491648,10.540285952
0,4,1,0.20140409469604492,168.8246560515836,0.5627520084381104,49.277793884277344,118.1200942993164,0.03884800150990486,0.3426559865474701,0.0,-0.08679196238517761,256,1520.712482586274,1516.3661871864285,10.390491648,10.540285952
0,5,1,0.17098698299378157,168.80475904326886,0.5596160292625427,49.28998565673828,118.13072204589844,0.04009599983692169,0.34377598762512207,0.0,-0.1747484803199768,256,1520.5133069189774,1516.544921191356,10.390491648,10.540285952
0,6,1,0.23173994850367308,168.85142598766834,0.5615360140800476,49.269920349121094,118.12313842773438,0.03936000168323517,0.3439359962940216,0.0,-0.27464067935943604,256,1520.750906407703,1516.125780416544,10.390491648,10.540285952
0,7,1,0.16178004443645477,168.98700699675828,0.7283520102500916,49.275169372558594,118.15711975097656,0.03830400109291077,0.3407360017299652,0.0,-0.3388751149177551,256,1518.9301313113426,1514.9093681794773,10.390491648,10.540285952
0,8,1,0.19669497851282358,169.0515869995579,0.7713919878005981,49.27289581298828,118.15411376953125,0.03862399980425835,0.34246399998664856,0.0,-0.432265043258667,256,1518.5714504938715,1514.330652220789,10.390491648,10.540285952
0,9,1,0.13803609181195498,168.97899203468114,0.7325760126113892,49.2916145324707,118.16044616699219,0.039583999663591385,0.34278398752212524,0.0,-0.5250459909439087,256,1518.6839230887979,1514.981222917099,10.390491648,10.540285952
0,10,0,0.20570203196257353,169.0672660479322,0.7646399736404419,49.28972625732422,118.10979461669922,0.038975998759269714,0.34326401352882385,0.0,-0.55293869972229,256,1518.86957356458,1514.190215434261,10.390491648,10.540285952
0,11,0,0.14731299597769976,168.84374199435115,0.559008002281189,49.28403091430664,118.16675567626953,0.03984000161290169,0.3421440124511719,0.0,-0.5700743198394775,256,1520.2642440019786,1516.1947785341358,10.390491648,10.540285952
0,12,0,0.18909107893705368,169.05074496753514,0.7714560031890869,49.295169830322266,118.14617919921875,0.038015998899936676,0.3410879969596863,0.0,-0.5905358791351318,256,1518.4595837074698,1514.3381950145372,10.390491648,10.540285952
0,13,0,0.1394689315930009,168.95421606022865,0.7606080174446106,49.29391860961914,118.07673645019531,0.03961599990725517,0.3404160141944885,0.0,-0.6097886562347412,256,1519.1859979546532,1515.203384499984,10.390491648,10.540285952
0,14,0,0.21580001339316368,169.02718204073608,0.72079998254776,49.275840759277344,118.15872192382812,0.039455998688936234,0.340831995010376,0.0,-0.6335164308547974,256,1518.9664560493025,1514.5492985755582,10.390491648,10.540285952
0,15,0,0.09832298383116722,168.9297710545361,0.733951985836029,49.2782096862793,118.16175842285156,0.03891199827194214,0.34163200855255127,0.0,-0.6999540328979492,256,1518.7969144821911,1515.4226422135785,10.390491648,10.540285952
